ticker,company,add_dates,remove_dates
EQNR.OL,Equinor,2018-05-31,
DNB.OL,DNB Bank,2010-05-31,
NHY.OL,Norsk Hydro,2010-05-31,
AKRBP.OL,Aker BP ASA,2012-05-31,
MOWI.OL,Mowi ASA,2010-05-31,
YAR.OL,Yara International,2010-05-31,
TEL.OL,Telenor ASA,2010-05-31,
AKER.OL,Aker ASA,2011-11-30,
BRG.OL,Borregaard ASA,2021-03-19,
ORK.OL,Orkla ASA,2010-05-31,
AFG.OL,AF Gruppen ASA,2013-05-31,
AMSC.OL,AMSC ASA,2014-05-30,2016-05-31
AMSC.OL,AMSC ASA,2016-11-30,2017-05-31
AMSC.OL,AMSC ASA,2019-05-31,2021-03-19
AKAST.OL,Akastor ASA,2015-05-29,
AKBM.OL,Aker BioMarine ASA,2007-06-29,2007-12-30
AKBM.OL,Aker BioMarine ASA,2011-05-31,2011-11-30
ACC.OL,Aker Carbon Capture ASA,2022-03-18,2022-09-16
ACC.OL,Aker Carbon Capture ASA,2023-03-17,
AKH.OL,Aker Horizons ASA,2021-09-17,
AKSO.OL,Aker Solutions ASA,2016-11-30,2016-05-31
